kwic,frequence,pourcentage
"opposer un mépris",6, 0.00088
"indiquer le mépris",6, 0.00088
"exprimer mon mépris",6, 0.00088
"exister un mépris",6, 0.00088
"est-à-dire le mépris",6, 0.00088
"engendrer un mépris",6, 0.00088
"déverser son mépris",6, 0.00088
"dépenser le mépris",6, 0.00088
"dénoncer un mépris",6, 0.00088
"dire un mépris",6, 0.00088
"cracher leur mépris",6, 0.00088
"considérer le mépris",6, 0.00088
"braver le mépris",6, 0.00088
"arrêter le mépris",6, 0.00088
"affecter un mépris",6, 0.00088
"accroître le mépris",6, 0.00088
"accepter ce mépris",6, 0.00088
"être mon mépris",5, 0.00073
"témoigner leur mépris",5, 0.00073
"suer le mépris",5, 0.00073
"sentir un mépris",5, 0.00073
"sentir son mépris",5, 0.00073
"semer le mépris",5, 0.00073
"résumer le mépris",5, 0.00073
"régner le mépris",5, 0.00073
"rendre son mépris",5, 0.00073
"rencontrer le mépris",5, 0.00073
"masquer le mépris",5, 0.00073
"laisser le mépris",5, 0.00073
"inclure le mépris",5, 0.00073
"importer le mépris",5, 0.00073
"garder votre mépris",5, 0.00073
"garder un mépris",5, 0.00073
"fuir le mépris",5, 0.00073
"frire le mépris",5, 0.00073
"exprimer votre mépris",5, 0.00073
"expliquer son mépris",5, 0.00073
"expliquer ce mépris",5, 0.00073
"encaisser le mépris",5, 0.00073
"dénoncer ce mépris",5, 0.00073
"démontrer leur mépris",5, 0.00073
"cautionner le mépris",5, 0.00073
"cacher un mépris",5, 0.00073
"arrêter ce mépris",5, 0.00073
"amener le mépris",5, 0.00073
"étaler leur mépris",4, 0.00058
"épargner votre mépris",4, 0.00058
"éclater son mépris",4, 0.00058
"voir son mépris",4, 0.00058
"témoigner le mépris",4, 0.00058
"trouver le mépris",4, 0.00058
"transparaître son mépris",4, 0.00058
"tolérer le mépris",4, 0.00058
"succéder le mépris",4, 0.00058
"subir un mépris",4, 0.00058
"subir son mépris",4, 0.00058
"signifier leur mépris",4, 0.00058
"récolter le mépris",4, 0.00058
"ressentir ce mépris",4, 0.00058
"représenter un mépris",4, 0.00058
